InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,SourceYear,IsCancelled,Year,Month,YearMonth,DayOfWeek,Hour,Revenue
513405,20712,JUMBO BAG WOODLAND ANIMALS,20,2010-06-24 11:55:00,1.95,,Hong Kong,2009-2010,False,2010,6,2010-06,Thursday,11,39.0
518561,21080,SET/20 RED SPOTTY PAPER NAPKINS ,12,2010-08-10 10:22:00,0.85,17023.0,United Kingdom,2009-2010,False,2010,8,2010-08,Tuesday,10,10.2
509347,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,1,2010-05-21 13:09:00,12.72,,United Kingdom,2009-2010,False,2010,5,2010-05,Friday,13,12.72
568411,21294,ETCHED GLASS COASTER,4,2011-09-27 10:52:00,2.46,,United Kingdom,2010-2011,False,2011,9,2011-09,Tuesday,10,9.84
579106,22634,CHILDS BREAKFAST SET SPACEBOY ,2,2011-11-28 11:42:00,9.95,16705.0,United Kingdom,2010-2011,False,2011,11,2011-11,Monday,11,19.9
546846,22364,GLASS JAR DIGESTIVE BISCUITS,1,2011-03-17 12:47:00,2.95,13533.0,United Kingdom,2010-2011,False,2011,3,2011-03,Thursday,12,2.95
564187,21932,SCANDINAVIAN PAISLEY PICNIC BAG,2,2011-08-23 15:24:00,1.65,15005.0,United Kingdom,2010-2011,False,2011,8,2011-08,Tuesday,15,3.3
530079,21523,DOORMAT FANCY FONT HOME SWEET HOME,4,2010-11-01 12:47:00,7.95,18061.0,United Kingdom,2009-2010,False,2010,11,2010-11,Monday,12,31.8
511970,84519A,TOMATO CHARLIE+LOLA COASTER SET,1,2010-06-11 13:59:00,2.95,18022.0,United Kingdom,2009-2010,False,2010,6,2010-06,Friday,13,2.95
559051,23203,JUMBO BAG DOILEY PATTERNS,2,2011-07-05 16:47:00,4.13,,United Kingdom,2010-2011,False,2011,7,2011-07,Tuesday,16,8.26
531389,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,2010-11-08 09:42:00,6.75,14758.0,United Kingdom,2009-2010,False,2010,11,2010-11,Monday,9,27.0
529502,85232B,SET OF 3 BABUSHKA STACKING TINS,1,2010-10-28 14:11:00,4.95,15167.0,United Kingdom,2009-2010,False,2010,10,2010-10,Thursday,14,4.95
543013,21915,RED  HARMONICA IN BOX ,1,2011-02-02 13:35:00,2.46,,United Kingdom,2010-2011,False,2011,2,2011-02,Wednesday,13,2.46
551173,22423,REGENCY CAKESTAND 3 TIER,2,2011-04-26 16:54:00,24.96,,United Kingdom,2010-2011,False,2011,4,2011-04,Tuesday,16,49.92
541696,21383,PACK OF 12 STICKY BUNNIES,2,2011-01-20 18:08:00,1.63,,United Kingdom,2010-2011,False,2011,1,2011-01,Thursday,18,3.26
537823,20665,RED RETROSPOT PURSE ,1,2010-12-08 14:25:00,5.91,,United Kingdom,2009-2010,False,2010,12,2010-12,Wednesday,14,5.91
567905,21181,PLEASE ONE PERSON METAL SIGN,12,2011-09-22 16:37:00,2.1,12952.0,United Kingdom,2010-2011,False,2011,9,2011-09,Thursday,16,25.200000000000003
526298,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,4,2010-10-11 12:00:00,1.49,14590.0,United Kingdom,2009-2010,False,2010,10,2010-10,Monday,12,5.96
552703,21745,GAOLERS KEYS DECORATIVE GARDEN ,3,2011-05-10 16:00:00,3.75,14462.0,United Kingdom,2010-2011,False,2011,5,2011-05,Tuesday,16,11.25
529595,85099F,JUMBO BAG STRAWBERRY,40,2010-10-29 08:36:00,1.95,15887.0,United Kingdom,2009-2010,False,2010,10,2010-10,Friday,8,78.0
537666,22659,LUNCH BOX I LOVE LONDON,4,2010-12-07 18:36:00,4.21,,United Kingdom,2009-2010,False,2010,12,2010-12,Tuesday,18,16.84
538040,22593,CHRISTMAS GINGHAM STAR,6,2010-12-09 13:08:00,0.85,16520.0,United Kingdom,2010-2011,False,2010,12,2010-12,Thursday,13,5.1
529727,47559B,TEA TIME OVEN GLOVE,1,2010-10-29 14:12:00,2.51,,United Kingdom,2009-2010,False,2010,10,2010-10,Friday,14,2.51
533065,10125,MINI FUNKY DESIGN TAPES,1,2010-11-15 17:04:00,1.66,,United Kingdom,2009-2010,False,2010,11,2010-11,Monday,17,1.66
543527,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,12,2011-02-09 12:08:00,4.15,15970.0,United Kingdom,2010-2011,False,2011,2,2011-02,Wednesday,12,49.800000000000004
502251,85230F,JASMINE VOTIVE CANDLE,24,2010-03-23 14:22:00,0.29,13869.0,United Kingdom,2009-2010,False,2010,3,2010-03,Tuesday,14,6.959999999999999
539595,22625,RED KITCHEN SCALES,2,2010-12-20 13:43:00,16.98,,United Kingdom,2010-2011,False,2010,12,2010-12,Monday,13,33.96
521979,21829,DINOSAUR KEYRINGS ASSORTED,108,2010-09-10 09:03:00,0.21,13477.0,United Kingdom,2009-2010,False,2010,9,2010-09,Friday,9,22.68
581133,21933,PINK VINTAGE PAISLEY PICNIC BAG,10,2011-12-07 12:55:00,1.65,14904.0,United Kingdom,2010-2011,False,2011,12,2011-12,Wednesday,12,16.5
553835,23254,CHILDRENS CUTLERY DOLLY GIRL ,4,2011-05-19 11:50:00,4.15,13529.0,United Kingdom,2010-2011,False,2011,5,2011-05,Thursday,11,16.6
552311,22831,WHITE BROCANTE SOAP DISH,6,2011-05-08 15:22:00,2.95,15312.0,United Kingdom,2010-2011,False,2011,5,2011-05,Sunday,15,17.700000000000003
490817,37450,CERAMIC CAKE BOWL + HANGING CAKES,18,2009-12-08 12:33:00,2.55,15311.0,United Kingdom,2009-2010,False,2009,12,2009-12,Tuesday,12,45.9
521486,21257,VICTORIAN SEWING BOX MEDIUM,1,2010-09-06 13:36:00,16.13,,United Kingdom,2009-2010,False,2010,9,2010-09,Monday,13,16.13
514116,15036,ASSORTED COLOURS SILK FAN,24,2010-06-30 12:52:00,0.75,16592.0,United Kingdom,2009-2010,False,2010,6,2010-06,Wednesday,12,18.0
580684,22144,CHRISTMAS CRAFT LITTLE FRIENDS,6,2011-12-05 15:15:00,2.1,13305.0,United Kingdom,2010-2011,False,2011,12,2011-12,Monday,15,12.600000000000001
496615,82613A,"METAL SIGN,CUPCAKE SINGLE HOOK",1,2010-02-03 08:50:00,2.51,,United Kingdom,2009-2010,False,2010,2,2010-02,Wednesday,8,2.51
543399,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,1,2011-02-08 11:07:00,2.46,,United Kingdom,2010-2011,False,2011,2,2011-02,Tuesday,11,2.46
547850,21770,OPEN CLOSED METAL SIGN,3,2011-03-27 12:06:00,4.95,14472.0,United Kingdom,2010-2011,False,2011,3,2011-03,Sunday,12,14.850000000000001
506711,18094C,WHITE AND BLUE CERAMIC OIL BURNER,1,2010-05-02 15:31:00,1.25,17051.0,United Kingdom,2009-2010,False,2010,5,2010-05,Sunday,15,1.25
542103,21199,PINK  HEART CONFETTI IN TUBE,12,2011-01-25 13:26:00,1.65,13198.0,United Kingdom,2010-2011,False,2011,1,2011-01,Tuesday,13,19.799999999999997
573347,22600,CHRISTMAS RETROSPOT STAR WOOD,7,2011-10-30 12:26:00,0.85,13137.0,United Kingdom,2010-2011,False,2011,10,2011-10,Sunday,12,5.95
566405,22563,HAPPY STENCIL CRAFT,24,2011-09-12 13:41:00,1.25,17919.0,United Kingdom,2010-2011,False,2011,9,2011-09,Monday,13,30.0
505171,22087,PAPER BUNTING WHITE LACE,2,2010-04-20 12:51:00,2.95,16774.0,United Kingdom,2009-2010,False,2010,4,2010-04,Tuesday,12,5.9
559339,84946,ANTIQUE SILVER T-LIGHT GLASS,60,2011-07-07 16:49:00,1.25,13752.0,United Kingdom,2010-2011,False,2011,7,2011-07,Thursday,16,75.0
531742,22867,HAND WARMER BIRD DESIGN,2,2010-11-09 12:50:00,2.1,17208.0,United Kingdom,2009-2010,False,2010,11,2010-11,Tuesday,12,4.2
539265,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1,2010-12-16 15:02:00,4.95,,United Kingdom,2010-2011,False,2010,12,2010-12,Thursday,15,4.95
533458,22569,FELTCRAFT CUSHION BUTTERFLY,2,2010-11-17 12:03:00,3.75,16006.0,United Kingdom,2009-2010,False,2010,11,2010-11,Wednesday,12,7.5
533717,22384,LUNCH BAG PINK POLKADOT,10,2010-11-18 13:27:00,1.65,13137.0,United Kingdom,2009-2010,False,2010,11,2010-11,Thursday,13,16.5
536799,22746,POPPY'S PLAYHOUSE LIVINGROOM ,2,2010-12-02 16:00:00,2.1,17228.0,United Kingdom,2010-2011,False,2010,12,2010-12,Thursday,16,4.2
533562,22729,ALARM CLOCK BAKELIKE ORANGE,4,2010-11-18 10:08:00,3.75,18066.0,United Kingdom,2009-2010,False,2010,11,2010-11,Thursday,10,15.0
543555,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2011-02-10 10:18:00,2.1,17686.0,United Kingdom,2010-2011,False,2011,2,2011-02,Thursday,10,25.200000000000003
547065,20728,LUNCH BAG CARS BLUE,10,2011-03-20 13:38:00,1.65,17068.0,United Kingdom,2010-2011,False,2011,3,2011-03,Sunday,13,16.5
521495,22423,REGENCY CAKESTAND 3 TIER,6,2010-09-06 14:10:00,12.75,13050.0,United Kingdom,2009-2010,False,2010,9,2010-09,Monday,14,76.5
523962,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-09-26 12:58:00,2.95,13980.0,United Kingdom,2009-2010,False,2010,9,2010-09,Sunday,12,23.6
524957,79144B,PAINTED LIGHTBULB STAR+ MOON,6,2010-10-01 13:27:00,0.42,13198.0,United Kingdom,2009-2010,False,2010,10,2010-10,Friday,13,2.52
535322,47591B,SCOTTIES CHILDRENS APRON,2,2010-11-25 15:19:00,1.66,,United Kingdom,2009-2010,False,2010,11,2010-11,Thursday,15,3.32
534403,22466,FAIRY TALE COTTAGE NIGHTLIGHT,1,2010-11-22 13:59:00,1.95,14649.0,United Kingdom,2009-2010,False,2010,11,2010-11,Monday,13,1.95
539088,48116,DOORMAT MULTICOLOUR STRIPE,10,2010-12-16 09:45:00,6.75,13093.0,United Kingdom,2010-2011,False,2010,12,2010-12,Thursday,9,67.5
564139,22384,LUNCH BAG PINK POLKADOT,2,2011-08-23 11:41:00,1.65,16904.0,United Kingdom,2010-2011,False,2011,8,2011-08,Tuesday,11,3.3
534812,21380,WOODEN HAPPY BIRTHDAY GARLAND,1,2010-11-24 12:43:00,2.95,14458.0,United Kingdom,2009-2010,False,2010,11,2010-11,Wednesday,12,2.95
520992,22023,EMPIRE BIRTHDAY CARD,1,2010-09-01 13:29:00,0.85,,United Kingdom,2009-2010,False,2010,9,2010-09,Wednesday,13,0.85
491656,16161P,WRAP ENGLISH ROSE ,25,2009-12-13 10:59:00,0.42,16719.0,United Kingdom,2009-2010,False,2009,12,2009-12,Sunday,10,10.5
539283,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-16 15:47:00,3.75,14092.0,United Kingdom,2010-2011,False,2010,12,2010-12,Thursday,15,15.0
507996,21936,RED RETROSPOT PICNIC BAG,50,2010-05-12 10:56:00,2.55,17511.0,United Kingdom,2009-2010,False,2010,5,2010-05,Wednesday,10,127.49999999999999
544463,90024C,NEW BAROQUE B'FLY NECKLACE GREEN,2,2011-02-20 14:31:00,8.5,12988.0,United Kingdom,2010-2011,False,2011,2,2011-02,Sunday,14,17.0
514098,46000S,POLYESTER FILLER PAD 40x40cm,6,2010-06-30 12:30:00,1.45,13097.0,United Kingdom,2009-2010,False,2010,6,2010-06,Wednesday,12,8.7
524765,22545,MINI JIGSAW BUNNIES,1,2010-09-30 15:47:00,0.85,,United Kingdom,2009-2010,False,2010,9,2010-09,Thursday,15,0.85
562955,82581,TOILET METAL SIGN,2,2011-08-11 10:14:00,1.25,,United Kingdom,2010-2011,False,2011,8,2011-08,Thursday,10,2.5
568917,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-09-29 14:11:00,1.45,15955.0,United Kingdom,2010-2011,False,2011,9,2011-09,Thursday,14,17.4
563764,84507B,STRIPES DESIGN MONKEY DOLL,1,2011-08-19 11:15:00,2.55,14606.0,United Kingdom,2010-2011,False,2011,8,2011-08,Friday,11,2.55
533828,20713,JUMBO BAG OWLS,10,2010-11-19 10:06:00,1.95,13317.0,United Kingdom,2009-2010,False,2010,11,2010-11,Friday,10,19.5
555124,85049E,SCANDINAVIAN REDS RIBBONS,1,2011-05-31 15:26:00,1.25,18204.0,United Kingdom,2010-2011,False,2011,5,2011-05,Tuesday,15,1.25
577053,22178,VICTORIAN GLASS HANGING T-LIGHT,96,2011-11-17 14:17:00,1.65,13001.0,United Kingdom,2010-2011,False,2011,11,2011-11,Thursday,14,158.39999999999998
495605,22200,FRYING PAN PINK POLKADOT ,8,2010-01-26 10:32:00,4.25,12471.0,Germany,2009-2010,False,2010,1,2010-01,Tuesday,10,34.0
565836,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2011-09-07 11:41:00,1.25,17511.0,United Kingdom,2010-2011,False,2011,9,2011-09,Wednesday,11,30.0
560024,48194,DOORMAT HEARTS,1,2011-07-14 13:00:00,7.95,15005.0,United Kingdom,2010-2011,False,2011,7,2011-07,Thursday,13,7.95
540183,22030,SWALLOWS GREETING CARD,12,2011-01-05 13:37:00,0.42,15093.0,United Kingdom,2010-2011,False,2011,1,2011-01,Wednesday,13,5.04
566566,22969,HOMEMADE JAM SCENTED CANDLES,2,2011-09-13 12:32:00,3.29,14096.0,United Kingdom,2010-2011,False,2011,9,2011-09,Tuesday,12,6.58
560926,23144,ZINC T-LIGHT HOLDER STARS SMALL,20,2011-07-22 09:20:00,1.63,,United Kingdom,2010-2011,False,2011,7,2011-07,Friday,9,32.599999999999994
536982,22110,BIRD HOUSE HOT WATER BOTTLE,20,2010-12-03 14:27:00,7.62,,United Kingdom,2010-2011,False,2010,12,2010-12,Friday,14,152.4
537629,21889,WOODEN BOX OF DOMINOES,12,2010-12-07 15:03:00,1.25,17419.0,United Kingdom,2009-2010,False,2010,12,2010-12,Tuesday,15,15.0
566055,22768,FAMILY PHOTO FRAME CORNICE,1,2011-09-08 15:05:00,9.95,15453.0,United Kingdom,2010-2011,False,2011,9,2011-09,Thursday,15,9.95
510483,22179,SET 10 LIGHTS NIGHT OWL,1,2010-06-01 11:27:00,6.75,16960.0,United Kingdom,2009-2010,False,2010,6,2010-06,Tuesday,11,6.75
524320,21509,COWBOYS AND INDIANS BIRTHDAY CARD ,12,2010-09-28 14:26:00,0.42,18049.0,United Kingdom,2009-2010,False,2010,9,2010-09,Tuesday,14,5.04
503046,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2010-03-29 15:21:00,2.55,15270.0,United Kingdom,2009-2010,False,2010,3,2010-03,Monday,15,163.2
559465,22356,CHARLOTTE BAG PINK POLKADOT,20,2011-07-08 13:26:00,0.85,14680.0,United Kingdom,2010-2011,False,2011,7,2011-07,Friday,13,17.0
551247,22659,LUNCH BOX I LOVE LONDON,12,2011-04-27 11:56:00,1.95,15640.0,United Kingdom,2010-2011,False,2011,4,2011-04,Wednesday,11,23.4
513764,21242,RED SPOTTY PLATE ,1,2010-06-28 13:12:00,1.69,,United Kingdom,2009-2010,False,2010,6,2010-06,Monday,13,1.69
509631,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2010-05-25 10:14:00,1.45,15182.0,United Kingdom,2009-2010,False,2010,5,2010-05,Tuesday,10,17.4
499521,21175,GIN + TONIC DIET METAL SIGN,48,2010-03-01 10:14:00,1.85,13694.0,United Kingdom,2009-2010,False,2010,3,2010-03,Monday,10,88.80000000000001
558568,22846,BREAD BIN DINER STYLE RED ,1,2011-06-30 14:37:00,16.95,16316.0,United Kingdom,2010-2011,False,2011,6,2011-06,Thursday,14,16.95
563440,23187,FRENCH STYLE STORAGE JAR BONBONS,48,2011-08-16 13:12:00,0.29,13189.0,United Kingdom,2010-2011,False,2011,8,2011-08,Tuesday,13,13.919999999999998
509166,20713,JUMBO BAG OWLS,10,2010-05-20 14:45:00,1.95,15615.0,United Kingdom,2009-2010,False,2010,5,2010-05,Thursday,14,19.5
490685,17084N,FAIRY DREAMS INCENSE ,25,2009-12-07 13:48:00,0.21,13206.0,United Kingdom,2009-2010,False,2009,12,2009-12,Monday,13,5.25
564353,22192,BLUE DINER WALL CLOCK,2,2011-08-24 15:08:00,8.5,15764.0,United Kingdom,2010-2011,False,2011,8,2011-08,Wednesday,15,17.0
492414,16243B,BROWN COZY SQUARE PHOTO ALBUM,1,2009-12-16 17:01:00,6.04,,United Kingdom,2009-2010,False,2009,12,2009-12,Wednesday,17,6.04
556812,21390,FILIGRIS HEART WITH BUTTERFLY,1,2011-06-14 17:25:00,2.46,,United Kingdom,2010-2011,False,2011,6,2011-06,Tuesday,17,2.46
537240,22195,LARGE HEART MEASURING SPOONS,5,2010-12-06 10:08:00,3.36,,United Kingdom,2010-2011,False,2010,12,2010-12,Monday,10,16.8
509200,15039,SANDALWOOD FAN,10,2010-05-21 09:20:00,0.85,17738.0,United Kingdom,2009-2010,False,2010,5,2010-05,Friday,9,8.5
558330,22124,SET OF 2 TEA TOWELS PING MICROWAVE,2,2011-06-28 12:16:00,2.95,12748.0,United Kingdom,2010-2011,False,2011,6,2011-06,Tuesday,12,5.9
494014,21531,RETRO SPOT SUGAR JAM BOWL,1,2010-01-11 09:33:00,5.17,,United Kingdom,2009-2010,False,2010,1,2010-01,Monday,9,5.17
528694,79144B,PAINTED LIGHTBULB STAR+ MOON,1,2010-10-24 13:01:00,0.42,15059.0,United Kingdom,2009-2010,False,2010,10,2010-10,Sunday,13,0.42
529727,21098,CHRISTMAS TOILET ROLL,5,2010-10-29 14:12:00,2.51,,United Kingdom,2009-2010,False,2010,10,2010-10,Friday,14,12.549999999999999
543098,21068,VINTAGE BILLBOARD LOVE/HATE MUG,12,2011-02-03 11:49:00,1.25,13102.0,United Kingdom,2010-2011,False,2011,2,2011-02,Thursday,11,15.0
494214,20665,RED SPOTTY PURSE ,12,2010-01-12 11:45:00,2.95,12623.0,Germany,2009-2010,False,2010,1,2010-01,Tuesday,11,35.400000000000006
574723,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,6,2011-11-06 14:45:00,2.89,15150.0,United Kingdom,2010-2011,False,2011,11,2011-11,Sunday,14,17.34
530810,22158,3 HEARTS HANGING DECORATION RUSTIC,6,2010-11-04 13:03:00,2.95,16327.0,United Kingdom,2009-2010,False,2010,11,2010-11,Thursday,13,17.700000000000003
546888,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,4,2011-03-17 18:15:00,2.08,,United Kingdom,2010-2011,False,2011,3,2011-03,Thursday,18,8.32
571308,22585,PACK OF 6 BIRDY GIFT TAGS,12,2011-10-17 10:10:00,1.25,12475.0,Germany,2010-2011,False,2011,10,2011-10,Monday,10,15.0
536865,22697,GREEN REGENCY TEACUP AND SAUCER,10,2010-12-03 11:28:00,5.91,,United Kingdom,2010-2011,False,2010,12,2010-12,Friday,11,59.1
538106,22988,SOLDIERS EGG CUP ,3,2010-12-09 15:20:00,1.25,17950.0,United Kingdom,2009-2010,False,2010,12,2010-12,Thursday,15,3.75
573277,21539,RED RETROSPOT BUTTER DISH,7,2011-10-28 13:18:00,4.95,14606.0,United Kingdom,2010-2011,False,2011,10,2011-10,Friday,13,34.65
538636,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2010-12-13 13:50:00,1.25,14639.0,United Kingdom,2010-2011,False,2010,12,2010-12,Monday,13,15.0
556964,22318,FIVE HEART HANGING DECORATION,6,2011-06-16 09:46:00,2.95,16145.0,United Kingdom,2010-2011,False,2011,6,2011-06,Thursday,9,17.700000000000003
516182,21745,GAOLERS KEYS DECORATIVE GARDEN ,4,2010-07-18 15:37:00,3.75,13078.0,United Kingdom,2009-2010,False,2010,7,2010-07,Sunday,15,15.0
521195,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,24,2010-09-02 17:17:00,0.85,15424.0,United Kingdom,2009-2010,False,2010,9,2010-09,Thursday,17,20.4
489439,16169N,WRAP BLUE RUSSIAN FOLKART,25,2009-12-01 09:28:00,0.42,12682.0,France,2009-2010,False,2009,12,2009-12,Tuesday,9,10.5
524934,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2010-10-01 11:49:00,1.25,17521.0,United Kingdom,2009-2010,False,2010,10,2010-10,Friday,11,15.0
524726,20943,SET/6 GINGERBREAD STAR T-LIGHTS,12,2010-09-30 14:19:00,1.25,15736.0,United Kingdom,2009-2010,False,2010,9,2010-09,Thursday,14,15.0
570871,23344,JUMBO BAG 50'S CHRISTMAS ,1,2011-10-12 16:36:00,4.13,,United Kingdom,2010-2011,False,2011,10,2011-10,Wednesday,16,4.13
499468,22386,JUMBO BAG PINK WITH WHITE SPOTS,2,2010-02-28 11:37:00,1.95,13542.0,United Kingdom,2009-2010,False,2010,2,2010-02,Sunday,11,3.9
537054,20723,STRAWBERRY CHARLOTTE BAG,2,2010-12-05 11:40:00,0.85,16931.0,United Kingdom,2009-2010,False,2010,12,2010-12,Sunday,11,1.7
577297,23300,GARDENERS KNEELING PAD CUP OF TEA ,1,2011-11-18 12:48:00,1.65,14593.0,United Kingdom,2010-2011,False,2011,11,2011-11,Friday,12,1.65
508051,85141,JARDIN ETCHED GLASS FRUITBOWL,1,2010-05-12 13:04:00,10.75,17845.0,United Kingdom,2009-2010,False,2010,5,2010-05,Wednesday,13,10.75
569026,85099F,JUMBO BAG STRAWBERRY,10,2011-09-30 10:18:00,2.08,16101.0,United Kingdom,2010-2011,False,2011,9,2011-09,Friday,10,20.8
571276,22666,RECIPE BOX PANTRY YELLOW DESIGN,2,2011-10-16 12:30:00,2.95,14702.0,United Kingdom,2010-2011,False,2011,10,2011-10,Sunday,12,5.9
576779,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,16,2011-11-16 13:25:00,0.83,14554.0,United Kingdom,2010-2011,False,2011,11,2011-11,Wednesday,13,13.28
535465,22079,RIBBON REEL HEARTS DESIGN ,25,2010-11-26 13:22:00,1.65,16254.0,United Kingdom,2009-2010,False,2010,11,2010-11,Friday,13,41.25
558704,22607,WOODEN ROUNDERS GARDEN SET ,8,2011-07-01 12:50:00,8.5,17505.0,United Kingdom,2010-2011,False,2011,7,2011-07,Friday,12,68.0
526652,37370,RETRO COFFEE MUGS ASSORTED,12,2010-10-12 14:09:00,1.25,14263.0,United Kingdom,2009-2010,False,2010,10,2010-10,Tuesday,14,15.0
503714,21165,BEWARE OF THE CAT METAL SIGN ,1,2010-04-06 14:42:00,1.69,13432.0,United Kingdom,2009-2010,False,2010,4,2010-04,Tuesday,14,1.69
497692,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2010-02-11 15:32:00,0.21,15807.0,United Kingdom,2009-2010,False,2010,2,2010-02,Thursday,15,10.08
572909,23414,ZINC BOX SIGN HOME,3,2011-10-26 15:48:00,9.95,15821.0,United Kingdom,2010-2011,False,2011,10,2011-10,Wednesday,15,29.849999999999998
574824,22627,MINT KITCHEN SCALES,2,2011-11-07 10:43:00,8.5,13097.0,United Kingdom,2010-2011,False,2011,11,2011-11,Monday,10,17.0
556464,23209,LUNCH BAG DOILEY PATTERN ,10,2011-06-12 10:53:00,1.65,18281.0,United Kingdom,2010-2011,False,2011,6,2011-06,Sunday,10,16.5
570210,23154,SET OF 4 JAM JAR MAGNETS,2,2011-10-09 10:48:00,2.08,13259.0,United Kingdom,2010-2011,False,2011,10,2011-10,Sunday,10,4.16
491969,21239,PINK  SPOTTY CUP,3,2009-12-14 17:57:00,1.7,,United Kingdom,2009-2010,False,2009,12,2009-12,Monday,17,5.1
562468,21670,BLUE SPOT CERAMIC DRAWER KNOB,4,2011-08-05 11:52:00,1.25,16928.0,United Kingdom,2010-2011,False,2011,8,2011-08,Friday,11,5.0
490741,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2009-12-07 17:56:00,17.35,,United Kingdom,2009-2010,False,2009,12,2009-12,Monday,17,17.35
535531,22866,HAND WARMER SCOTTY DOG DESIGN,8,2010-11-26 15:16:00,2.1,17841.0,United Kingdom,2009-2010,False,2010,11,2010-11,Friday,15,16.8
536030,22892,SET OF SALT AND PEPPER TOADSTOOLS,6,2010-11-29 16:41:00,1.25,15828.0,United Kingdom,2009-2010,False,2010,11,2010-11,Monday,16,7.5
573339,23583,LUNCH BAG PAISLEY PARK  ,10,2011-10-30 11:49:00,1.65,13278.0,United Kingdom,2010-2011,False,2011,10,2011-10,Sunday,11,16.5
535681,22617,BAKING SET SPACEBOY DESIGN,1,2010-11-28 12:32:00,4.95,15850.0,United Kingdom,2009-2010,False,2010,11,2010-11,Sunday,12,4.95
538171,21479,WHITE SKULL HOT WATER BOTTLE ,1,2010-12-09 20:01:00,3.75,17530.0,United Kingdom,2009-2010,False,2010,12,2010-12,Thursday,20,3.75
497911,37503,TEA TIME CAKE STAND IN GIFT BOX,2,2010-02-14 14:10:00,10.75,17285.0,United Kingdom,2009-2010,False,2010,2,2010-02,Sunday,14,21.5
530280,90040C,MURANO STYLE GLASS BRACELET GOLD,3,2010-11-02 12:02:00,3.5,16117.0,United Kingdom,2009-2010,False,2010,11,2010-11,Tuesday,12,10.5
568472,85099B,JUMBO BAG RED RETROSPOT,10,2011-09-27 11:50:00,2.08,12517.0,Germany,2010-2011,False,2011,9,2011-09,Tuesday,11,20.8
534057,22553,PLASTERS IN TIN SKULLS,12,2010-11-21 10:42:00,1.65,17548.0,United Kingdom,2009-2010,False,2010,11,2010-11,Sunday,10,19.799999999999997
523951,22333,RETROSPOT PARTY BAG + STICKER SET,1,2010-09-26 11:58:00,1.65,14094.0,United Kingdom,2009-2010,False,2010,9,2010-09,Sunday,11,1.65
555110,21154,RED RETROSPOT OVEN GLOVE ,1,2011-05-31 14:34:00,1.25,17841.0,United Kingdom,2010-2011,False,2011,5,2011-05,Tuesday,14,1.25
534459,22492,MINI PAINT SET VINTAGE ,1,2010-11-23 09:12:00,1.66,,United Kingdom,2009-2010,False,2010,11,2010-11,Tuesday,9,1.66
564825,22569,FELTCRAFT CUSHION BUTTERFLY,1,2011-08-30 12:26:00,7.46,,United Kingdom,2010-2011,False,2011,8,2011-08,Tuesday,12,7.46
546850,22708,WRAP DOLLY GIRL,25,2011-03-17 13:20:00,0.42,13268.0,United Kingdom,2010-2011,False,2011,3,2011-03,Thursday,13,10.5
524730,22499,WOODEN UNION JACK BUNTING,6,2010-09-30 14:25:00,5.95,16958.0,United Kingdom,2009-2010,False,2010,9,2010-09,Thursday,14,35.7
532807,79321,CHILLI LIGHTS,24,2010-11-14 15:17:00,4.25,17841.0,United Kingdom,2009-2010,False,2010,11,2010-11,Sunday,15,102.0
519260,20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,1,2010-08-15 16:00:00,1.65,17299.0,United Kingdom,2009-2010,False,2010,8,2010-08,Sunday,16,1.65
576617,21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,1,2011-11-15 16:57:00,3.29,,United Kingdom,2010-2011,False,2011,11,2011-11,Tuesday,16,3.29
574846,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-11-07 11:59:00,1.45,14702.0,United Kingdom,2010-2011,False,2011,11,2011-11,Monday,11,17.4
558099,22643,SET OF 4 NAPKIN CHARMS LEAVES   ,3,2011-06-26 13:45:00,2.55,17593.0,United Kingdom,2010-2011,False,2011,6,2011-06,Sunday,13,7.6499999999999995
572907,47559B,TEA TIME OVEN GLOVE,10,2011-10-26 15:44:00,1.25,12827.0,United Kingdom,2010-2011,False,2011,10,2011-10,Wednesday,15,12.5
541497,22817,CARD SUKI BIRTHDAY,4,2011-01-18 15:19:00,0.42,,United Kingdom,2010-2011,False,2011,1,2011-01,Tuesday,15,1.68
